38,372
115,396
194,395
282,381
358,395
430,395
56,34
122,19
381,19
488,19
469,65
486,145
423,61
408,105
434,160
29,104
91,65
14,245
28,193
63,164
93,172
100,109
134,75
165,63
130,150
159,138
156,107
202,24
242,24
273,28
292,25
321,50
266,222
214,203
193,165
232,166
185,136
184,124
174,108
174,98
180,81
188,70
193,44
201,61
208,50
223,37
256,38
228,46
235,50
231,54
244,54
214,67
193,87
201,84
206,93
202,106
369,157
220,78
40,288
35,312
42,337
67,353
93,359
123,367
156,360
187,354
229,351
222,319
180,336
198,324
62,233
105,212
56,275
59,255
81,246
76,266
93,258
78,343
78,336
68,330
54,324
57,325
64,320
106,348
129,350
141,344
158,325
169,312
192,309
101,238
130,210
168,211
144,222
135,238
114,255
113,270
83,279
120,330
120,323
132,314
144,306
80,290
74,293
66,301
66,304
70,302
130,280
140,289
123,293
124,306
91,341
96,335
106,325
108,286
102,287
94,293
105,293
98,293
117,306
113,310
107,301
108,306
106,313
104,321
80,325
91,338
86,327
98,324
91,325
99,300
101,308
99,315
97,319
92,299
93,306
92,313
92,319
85,320
86,302
80,319
76,313
85,314
84,307
79,309
77,304
73,307
166,292
180,298
195,292
211,297
230,296
211,281
188,281
226,259
208,233
205,269
211,256
186,224
168,226
158,233
152,244
139,255
147,261
141,268
151,278
152,273
173,278
167,273
173,271
183,270
180,237
187,239
201,250
196,245
189,245
195,257
178,268
196,251
187,260
185,251
178,244
184,262
187,257
177,262
168,262
180,256
177,250
173,256
161,264
170,247
164,249
167,256
159,253
211,150
214,143
254,166
281,171
255,153
272,152
292,154
322,149
265,143
267,135
305,134
330,128
287,127
337,115
345,95
358,80
331,65
326,78
306,63
312,115
321,102
309,99
310,87
278,281
304,321
487,350
449,355
423,353
459,340
325,210
369,201
357,218
332,233
339,243
356,235
316,256
309,281
293,45
295,49
263,47
268,56
273,62
292,89
280,92
297,74
290,70
280,71
274,76
276,92
234,76
249,70
258,66
261,75
244,82
266,86
259,88
233,146
200,120
210,122
201,117
217,110
226,119
230,128
244,128
293,111
287,110
280,108
274,106
267,107
267,113
257,122
261,106
260,97
221,94
228,94
234,89
238,88
241,118
252,120
234,110
252,115
253,108
238,108
238,94
242,92
238,103
253,101
239,98
247,96
253,94
323,300
336,316
361,332
383,337
401,326
381,314
434,335
444,328
489,324
493,312
493,302
497,283
485,257
482,277
477,213
474,234
325,263
334,263
333,289
340,302
351,309
365,312
415,333
450,259
347,262
413,196
393,207
407,212
393,218
393,226
373,233
387,240
379,245
374,253
392,305
466,258
461,268
459,225
452,280
472,288
461,287
419,211
438,202
446,204
364,261
377,259
421,316
415,309
406,293
416,287
403,280
408,275
435,281
434,267
442,258
421,263
437,253
438,246
401,249
408,241
414,253
421,247
424,241
496,264
390,263
385,268
350,295
359,299
362,294
351,289
350,271
344,279
349,282
388,293
379,293
385,287
379,288
383,283
380,277
380,269
353,291
353,285
359,288
356,271
354,280
364,289
359,282
360,270
376,293
378,272
371,271
366,272
358,274
363,277
366,283
369,277
371,282
431,290
437,292
481,293
473,296
481,308
479,312
459,327
454,324
449,325
436,317
436,301
438,305
442,319
471,318
440,310
443,293
470,312
463,298
449,293
464,315
469,303
457,318
447,314
452,314
463,308
445,308
455,308
450,307
462,303
456,298
453,303
446,302
450,299
455,247
451,243
459,232
450,207
413,229
418,232
425,235
432,235
440,236
444,236
451,232
448,213
432,217
442,230
440,216
448,223
443,220
425,222
425,228
435,229
430,226
442,226
437,222
431,221
245,100
246,105
252,81
248,87
