@RELATION 'Parkinson, without duplicates, with normalization, 75 pct of outliers'

@ATTRIBUTE 'id' real
@ATTRIBUTE 'MDVP:Fo(Hz)' real
@ATTRIBUTE 'MDVP:Fhi(Hz)' real
@ATTRIBUTE 'MDVP:Flo(Hz)' real
@ATTRIBUTE 'MDVP:Jitter(%)' real
@ATTRIBUTE 'MDVP:Jitter(Abs)' real
@ATTRIBUTE 'MDVP:RAP' real
@ATTRIBUTE 'MDVP:PPQ' real
@ATTRIBUTE 'Jitter:DDP' real
@ATTRIBUTE 'MDVP:Shimmer' real
@ATTRIBUTE 'MDVP:Shimmer(dB)' real
@ATTRIBUTE 'Shimmer:APQ3' real
@ATTRIBUTE 'Shimmer:APQ5' real
@ATTRIBUTE 'MDVP:APQ' real
@ATTRIBUTE 'Shimmer:DDA' real
@ATTRIBUTE 'NHR' real
@ATTRIBUTE 'HNR' real
@ATTRIBUTE 'RPDE' real
@ATTRIBUTE 'DFA' real
@ATTRIBUTE 'spread1' real
@ATTRIBUTE 'spread2' real
@ATTRIBUTE 'D2' real
@ATTRIBUTE 'PPE' real
@ATTRIBUTE 'outlier' {'yes','no'}

@DATA
1.0,0.184308269100901,0.11259173071231,0.0548147892270314,0.195679796696315,0.24901185770751,0.145472061657033,0.247588424437299,0.145288168245304,0.312214716085448,0.280197206244864,0.332627118644068,0.347354138398915,0.172448120070449,0.332584413917063,0.0683069675653309,0.51174510282045,0.369155422195571,0.960148362987339,0.569875209570575,0.585765129361869,0.390661284381467,0.497309600934494,'yes'
2.0,0.198326851873414,0.0949304428590384,0.278322797563531,0.254129606099111,0.288537549407115,0.191233140655106,0.32368703108253,0.191041900786643,0.472886616761001,0.444535743631882,0.515986132511556,0.535685210312076,0.279424151925875,0.516048273205803,0.0593309354807906,0.432577420141429,0.47083048478584,0.977024453598719,0.703276994037013,0.741337043215171,0.473145220270941,0.671326020860431,'yes'
3.0,0.165038539459283,0.0591281627320698,0.265288380715511,0.280177890724269,0.328063241106719,0.229287090558767,0.369239013933548,0.229410820356398,0.390633558517437,0.326211996713229,0.443374422187981,0.446132971506106,0.219848380427291,0.443317499037104,0.0395963968552058,0.496220434040478,0.40441596804338,1.0,0.636744698427197,0.686370911644932,0.40881937907386,0.596682462491819,'yes'
4.0,0.165003609435764,0.0729273196770671,0.264200260227757,0.263341804320203,0.328063241106719,0.209055876685934,0.32475884244373,0.208861775565901,0.414277889355487,0.354971240755957,0.475539291217257,0.466078697421981,0.233785129029788,0.475478238541533,0.0409969124996021,0.495935950581159,0.416255036970841,0.975885038604655,0.695627498552239,0.738088645465412,0.436977171257387,0.671949431267449,'yes'
5.0,0.16114966350744,0.08090878471478,0.260106854583348,0.354510800508259,0.407114624505929,0.282755298651252,0.437299035369775,0.282870444694172,0.499452254884061,0.410024650780608,0.584553158705701,0.577340569877883,0.286851979477755,0.584542303248171,0.0541744915173314,0.455498658863692,0.375158954783343,0.992812920806674,0.762472036916604,0.513798374225326,0.404335574864716,0.757611406132204,'yes'
6.0,0.187568404629392,0.0592322687977791,0.278138565523277,0.254129606099111,0.288537549407115,0.190269749518304,0.352625937834941,0.190078664312089,0.342066824904145,0.304847986852917,0.360747303543914,0.401085481682497,0.193276667432422,0.360829374759276,0.0368271954674221,0.525766073315452,0.370977714831035,0.999127510896154,0.672961241941488,0.65921763814695,0.339999056884123,0.648752764959779,'yes'
7.0,0.185909228512214,0.0716474274574645,0.284085806072749,0.0524142312579415,0.0909090909090909,0.041907514450867,0.0589496248660236,0.0420613260555466,0.0597042176373927,0.0451930977814297,0.0624036979969183,0.0497964721845319,0.0483957423998775,0.0624598793169855,0.0172518063468823,0.668332926928392,0.792078976902849,0.756276742388628,0.421385247714092,0.565955080714693,0.191958780497787,0.346328299104443,'yes'
8.0,0.110605919474652,0.0238729497739266,0.223605881607885,0.0387547649301144,0.0909090909090909,0.0366088631984586,0.0482315112540193,0.0364424466206454,0.0559612926784736,0.0402629416598192,0.0720338983050847,0.0510176390773406,0.0411210659315415,0.0720888432404673,0.00888054238151319,0.749857758270341,0.888630153926562,0.752890369154522,0.324967686400517,0.399458375260851,0.285339708559399,0.246911943797791,'yes'
9.0,0.0430628973290176,0.0610816824356737,0.151289048556657,0.121664548919949,0.209486166007905,0.108381502890173,0.128617363344051,0.108524642799807,0.103980281175826,0.0870994248151191,0.119029275808937,0.0959294436906377,0.0764223906884141,0.119013994094235,0.0319890505140529,0.543404047793221,0.837603626852334,0.794024844027633,0.445909773595979,0.723730862479993,0.400034165707239,0.387367758290737,'yes'
10.0,0.0391390913536548,0.0366575829021097,0.148249219892455,0.115628970775095,0.209486166007905,0.0963391136801541,0.128617363344051,0.0961631080430246,0.171991966404966,0.139687756778965,0.189907550077042,0.156716417910448,0.132092809556628,0.190011554756708,0.0304612152656205,0.545436072502642,0.677741197113265,0.893130044700127,0.533923358235009,0.719739587905965,0.449094430811774,0.469780128741498,'yes'
11.0,0.0,0.020606877124223,0.107061844393013,0.10705209656925,0.209486166007905,0.0895953757225433,0.127545551982851,0.0897415315459945,0.108544823808654,0.0920295809367297,0.120184899845917,0.104748982360923,0.0898231104985067,0.120233662857877,0.0350447210109177,0.515199544826465,0.827304523532308,0.804259659131654,0.490912506398084,0.866077317719413,0.437759690515635,0.424998135982172,'yes'
12.0,0.0207891856647183,0.0280188207436439,0.119842942185683,0.118170266836086,0.209486166007905,0.102601156069364,0.130760986066452,0.10274522395248,0.164140953076502,0.134757600657354,0.186633281972265,0.145318860244233,0.114480434949077,0.186673513929901,0.0342489734856925,0.527229131106234,0.762562969427016,0.86945331984096,0.543260808761167,0.804314988778058,0.542375708893938,0.479243125916475,'yes'
13.0,0.282892438814242,0.11782561213346,0.378827132773729,0.039707750952986,0.0513833992094862,0.0240847784200385,0.0326902465166131,0.0242414512762883,0.027843710060252,0.0221857025472473,0.038713405238829,0.0199457259158752,0.0322383030859943,0.0387726280652202,0.0164242289206481,0.701536210680322,0.476059368007448,0.28909269101137,0.256345696663848,0.329880081671428,0.27492272677933,0.194630385975958,'yes'
